"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR1302-2HG",0,NA,NA,NA,NA,NA
"FAM138A",0,NA,NA,NA,NA,NA
"OR4F5",0,NA,NA,NA,NA,NA
"AL627309.1",0.0751569886685509,-0.270458772533297,1.49275593034848,-0.181180839435794,0.85622563361748,NA
"AL627309.3",0,NA,NA,NA,NA,NA
"AL627309.2",0,NA,NA,NA,NA,NA
"AL627309.5",0.0543499742854793,-0.139229787639273,1.49387567834031,-0.0932003845152343,0.925744368921343,NA
"AL627309.4",0,NA,NA,NA,NA,NA
"AP006222.2",0,NA,NA,NA,NA,NA
"AL732372.1",0,NA,NA,NA,NA,NA
"OR4F29",0,NA,NA,NA,NA,NA
"AC114498.1",0,NA,NA,NA,NA,NA
"OR4F16",0,NA,NA,NA,NA,NA
"AL669831.2",0,NA,NA,NA,NA,NA
"LINC01409",1.7816973148815,0.47603857624938,0.269059631096708,1.76926792885655,0.0768491728362122,0.999981087338227
"FAM87B",0.0895268364712727,-0.270458774414291,1.49275593032024,-0.181180840699303,0.856225632625757,NA
"LINC01128",4.51630251202893,0.121942325605544,0.159153509136915,0.766193131818672,0.443561394435715,0.999981087338227
"LINC00115",0.985888604555689,-0.0941496638973457,0.363718317497361,-0.258853237156605,0.795748480001537,0.999981087338227
"FAM41C",0.242002713297357,0.78499573620125,0.733265621891443,1.07054757889286,0.284372904776056,0.999981087338227
"AL645608.6",0,NA,NA,NA,NA,NA
"AL645608.2",0,NA,NA,NA,NA,NA
"AL645608.4",0,NA,NA,NA,NA,NA
"LINC02593",0.013232885339963,-0.245311124044402,1.49348411249627,-0.164254257539024,0.869530989730175,NA
"SAMD11",0.0196225246167212,-0.0920818839399411,1.49511767281017,-0.0615883857267684,0.950890626231673,NA
"NOC2L",8.55911717245512,0.0375826946788234,0.120142281889023,0.31281821926388,0.754418772610552,0.999981087338227
"KLHL17",0.980243117771681,0.131849299748296,0.307934831377518,0.42817273758373,0.668525363163646,0.999981087338227
"PLEKHN1",0.486430648419137,0.0123794561340432,0.451791547344479,0.0274008139523784,0.978140049053495,0.999981087338227
"PERM1",0,NA,NA,NA,NA,NA
"AL645608.7",0.261408601729848,0.0673206304572332,0.769005131587552,0.0875424983423126,0.930240306283067,0.999981087338227
"HES4",9.63642548081346,-0.26335439255654,0.43551232007642,-0.604700212637678,0.545378206839359,0.999981087338227
"ISG15",29.4598809647413,-0.0292589446810553,0.125893117058687,-0.232410995649712,0.816218809426217,0.999981087338227
"AL645608.1",0.102783322332073,0.229670940412901,1.49306283124675,0.153825368635772,0.877747430620422,NA
"AGRN",0.277914677117643,-0.543499828172192,0.557243544575919,-0.97533624832893,0.329393495538071,0.999981087338227
"AL645608.5",0,NA,NA,NA,NA,NA
"AL645608.8",0.161199695926007,0.154750427100994,0.767973651910901,0.201504865063975,0.840303825683303,0.999981087338227
"RNF223",0,NA,NA,NA,NA,NA
"C1orf159",1.81008397017415,-0.0645911155073571,0.246209103917254,-0.262342514877374,0.793057387337318,0.999981087338227
"AL390719.3",0.434267527932718,0.00271919380402177,0.593413025312141,0.00458229544690471,0.996343870004772,0.999981087338227
"LINC01342",0.142441912495416,0.400688209259883,0.942225016902594,0.425257451322061,0.670649007182136,0.999981087338227
"AL390719.2",0,NA,NA,NA,NA,NA
"TTLL10-AS1",0.0379357732855707,-0.0921192334148848,1.49511643058734,-0.0616134178785639,0.950870691323346,NA
"TTLL10",0.508268054818532,0.0861106699074917,0.418616346816687,0.205703075291514,0.837022856198833,0.999981087338227
